month	jvs	toadua
2025-12	20673	21947
2025-11	20631	21884
2025-10	20579	21783
2025-09	20541	21640
2025-08	20502	21522
2025-07	20445	21385
2025-06	20412	21305
2025-05	20341	21203
2025-04	20190	20753
2025-03	20155	20425
2025-02	20132	20060
2025-01	20078	19869
2024-12	20028	19612
2024-11	20020	19342
2024-10	20008	18787
2024-09	19974	18136
2024-08	19953	17718
2024-07	19940	17309
2024-06	19917	16760
2024-05	19891	16407
2024-04	19879	16062
2024-03	19869	15763
2024-02	19844	15636
2024-01	19824	15568
2023-12	19793	15298
2023-11	19747	14853
2023-10	19692	14227
2023-09	19664	13702
2023-08	19649	13402
2023-07	19643	13143
2023-06	19640	12906
2023-05	19636	12566
2023-04	19617	12210
2023-03	19590	12072
2023-02	19568	11866
2023-01	19556	11534
2022-12	19551	10987
2022-11	19520	10501
2022-10	19483	10291
2022-09	19471	9874
2022-08	19450	9725
2022-07	19432	9450
2022-06	19428	9020
2022-05	19373	8737
2022-04	19353	8344
2022-03	19255	8172
2022-02	19250	8020
2022-01	19239	7625
2021-12	19224	7502
2021-11	19134	7458
2021-10	19115	7146
2021-09	19095	6691
2021-08	19089	6150
2021-07	19025	5817
2021-06	19009	5746
2021-05	18983	5746
2021-04	18951	5743
2021-03	18915	5743
2021-02	18866	5743
2021-01	18814	5743
2020-12	18767	5743
2020-11	18718	5743
2020-10	18665	5743
2020-09	18577	5743
2020-08	18543	5743
2020-07	18498	5743
2020-06	18474	5706
2020-05	18448	5459
2020-04	18417	5241
2020-03	18404	5079
2020-02	18368	4647
2020-01	18321	4181
2019-12	18291	3832
2019-11	18277	3614
2019-10	18247	3535
2019-09	18226	3527
2019-08	18001	3377
2019-07	17977	3311
2019-06	17952	3255
2019-05	17926	3132
2019-04	17860	2128
2019-03	17850	1619
2019-02	17845	1453
2019-01	17832	1132
2018-12	17779	782
2018-11	17752	516
2018-10	17736	446
2018-09	17698	89
2018-08	17669	0
2018-07	17623	0
2018-06	17571	0
2018-05	17371	0
2018-04	17295	0
2018-03	17224	0
2018-02	17144	0
2018-01	17077	0
2017-12	17027	0
2017-11	16810	0
2017-10	16735	0
2017-09	16647	0
2017-08	16621	0
2017-07	16600	0
2017-06	16498	0
2017-05	16440	0
2017-04	16417	0
2017-03	16399	0
2017-02	16345	0
2017-01	16178	0
2016-12	16128	0
2016-11	16090	0
2016-10	16055	0
2016-09	16029	0
2016-08	15987	0
2016-07	15962	0
2016-06	15927	0
2016-05	15860	0
2016-04	15814	0
2016-03	15748	0
2016-02	15684	0
2016-01	15606	0
2015-12	15525	0
2015-11	15470	0
2015-10	15395	0
2015-09	15294	0
2015-08	15209	0
2015-07	14939	0
2015-06	14632	0
2015-05	14301	0
2015-04	14113	0
2015-03	14079	0
2015-02	14000	0
2015-01	13892	0
2014-12	13714	0
2014-11	13598	0
2014-10	13411	0
2014-09	13250	0
2014-08	13138	0
2014-07	13062	0
2014-06	12963	0
2014-05	12831	0
2014-04	12677	0
2014-03	12520	0
2014-02	12435	0
2014-01	12237	0
2013-12	12090	0
2013-11	11996	0
2013-10	11947	0
2013-09	11880	0
2013-08	11834	0
2013-07	11795	0
2013-06	11557	0
2013-05	11321	0
2013-04	11267	0
2013-03	11243	0
2013-02	10838	0
2013-01	10627	0
2012-12	10533	0
2012-11	10485	0
2012-10	10457	0
2012-09	10449	0
2012-08	10428	0
2012-07	10412	0
2012-06	10397	0
2012-05	10314	0
2012-04	10283	0
2012-03	10276	0
2012-02	10263	0
2012-01	10253	0
2011-12	10229	0
2011-11	10222	0
2011-10	10197	0
2011-09	10180	0
2011-08	10150	0
2011-07	10077	0
2011-06	10019	0
2011-05	9978	0
2011-04	9927	0
2011-03	9760	0
2011-02	9671	0
2011-01	9641	0
2010-12	9621	0
2010-11	9527	0
2010-10	9482	0
2010-09	9425	0
2010-08	9380	0
2010-07	9374	0
2010-06	9327	0
2010-05	9265	0
2010-04	9174	0
2010-03	9119	0
2010-02	9087	0
2010-01	9077	0
2009-12	9027	0
2009-11	8999	0
2009-10	8937	0
2009-09	8880	0
2009-08	8650	0
2009-07	8519	0
2009-06	8380	0
2009-05	8315	0
2009-04	8296	0
2009-03	8289	0
2009-02	8278	0
2009-01	8244	0
2008-12	8230	0
2008-11	8212	0
2008-10	8205	0
2008-09	8203	0
2008-08	8200	0
2008-07	8194	0
2008-06	8193	0
2008-05	8192	0
2008-04	8189	0
2008-03	8185	0
2008-02	8180	0
2008-01	8180	0
2007-12	8180	0
2007-11	8177	0
2007-10	8165	0
2007-09	8163	0
2007-08	8160	0
2007-07	8160	0
2007-06	8160	0
2007-05	8159	0
2007-04	8155	0
2007-03	8155	0
2007-02	8153	0
2007-01	8151	0
2006-12	8144	0
2006-11	8143	0
2006-10	8141	0
2006-09	8131	0
2006-08	8131	0
2006-07	8127	0
2006-06	8121	0
2006-05	8119	0
2006-04	8100	0
2006-03	8100	0
2006-02	8098	0
2006-01	8098	0
2005-12	8096	0
2005-11	8087	0
2005-10	8086	0
2005-09	8086	0
2005-08	8084	0
2005-07	8081	0
2005-06	8067	0
2005-05	8053	0
2005-04	8044	0
2005-03	8036	0
2005-02	7993	0
2005-01	7977	0
2004-12	7950	0
2004-11	7937	0
2004-10	7917	0
2004-09	7916	0
2004-08	7907	0
2004-07	7884	0
2004-06	7879	0
2004-05	7872	0
2004-04	7866	0
2004-03	7850	0
2004-02	7843	0
2004-01	7843	0
2003-12	7831	0
2003-11	7831	0
2003-10	7822	0
2003-09	7814	0
2003-08	7804	0
